A.B. Yehoshua,1,1941,2017
A.D.P. Briggs,2,1916,
A.E. Cunningham,3,1964,
A.J. Jacobs,4,1935,
A.M. Homes,5,1976,2007
A.N. Roquelaure,6,1967,1996
A.S. Byatt,7,1921,1994
Abbie Hoffman,8,1987,
Abdul Rahman Munif,9,1941,
Abigail Adams,10,1954,1991
Abigail Thomas,11,1925,
Abolqasem Ferdowsi,12,1977,2015
Abraham Lincoln,13,1945,1980
Adam  Sexton,14,1975,
Adam Drozdek,15,1969,2009
Adam Ginsberg,16,1975,
Adam Gopnik,17,1998,
Adam Hochschild,18,1900,1982
Adam Mansbach,19,1950,1974
Adam Rex,20,1997,
Adam Smith,21,1902,1957
Adam Swift,22,1916,
Adam Woog,23,1958,
Adolfo Bioy Casares,24,1974,
Adrian Guelke,25,1927,
Adrian McKinty,26,1933,
Aeschylus,27,1971,
Aesop,28,1940,1984
Agatha Christie,29,1912,1968
Ai Morinaga,30,1937,
Aidan Hartley,31,1947,1988
AimÃ© CÃ©saire,32,1908,1988
Aimee Bender,33,1978,
Akira Yoshida,34,1900,
Al Franken,35,1970,1999
Al Gore,36,1959,
Al Ries,37,1973,
Alain de Botton,38,1961,
Alan  Lee,39,1921,
Alan Aldridge,40,1953,1981
Alan Brennert,41,1940,2001
Alan Cohen,42,1942,1976
Alan Dean Foster,43,1940,2008
Alan Hausman,44,1968,2008
Alan Hollinghurst,45,1968,
Alan Lightman,46,1937,
Alan MacGillivray,47,1984,
Alan Moore,48,1956,
Alan Paton,49,2000,
Alastair Lamb,50,1973,
Albert Camus,51,1965,
Albert Demeo,52,1924,
Albert Einstein,53,1936,
Albert Ellis,54,1921,
Albert Jack,55,1978,
Albert Marrin,56,1916,1955
Albert Speer,57,1932,1963
Alcoholics Anonymous,58,1928,
Alden T. Vaughan,59,1925,2016
Aldon D. Morris,60,1924,2020
Aldous Huxley,61,1945,2001
Alec MacLellan,62,1947,1967
Aleksandr Solzhenitsyn,63,1971,
Alex Austin,64,1976,2010
Alex C. Jones,65,1971,
Alex Cox,66,1922,1965
Alex Kotlowitz,67,1901,
Alex Ross,68,1936,
Alex Went,69,1927,
Alexander  Walker,70,1929,2011
Alexander C. Irvine,71,1914,1964
Alexander Heidel,72,1931,1986
Alexander Hunter,73,1940,
Alexander McCall Smith,74,1920,
Alexander Payne,75,1968,2007
Alexander Pope,76,1946,2014
Alexander Pushkin,77,1978,
Alexandra Moss,78,1994,
Alexandra Robbins,79,1967,1996
Alexandra Siy,80,1964,
Alexandre Dumas,81,1977,
Alexandre Dumas fils,82,1964,
Alexis de Tocqueville,83,1905,1957
Alfred D. Chandler Jr.,84,2000,
Alfred Hitchcock,85,1989,
Alfred Uhry,86,1949,1971
Ali Vali,87,1909,1973
Alice   Miller,88,1939,1967
Alice Dalgliesh,89,1981,
Alice Hoffman,90,1967,
Alice Kaplan,91,1927,1996
Alice Medrich,92,1984,
Alice Munro,93,1916,
Alice Randall,94,1987,
Alice Sebold,95,1953,
Alice Walker,96,1955,
Alice Wong,97,2000,
Alison Baverstock,98,1978,
Alison Bechdel,99,1935,2003
Alison Weir,100,1905,1995
Alistair Horne,101,1951,2011
Alistair MacLeod,102,1963,
Alistair McCallum,103,1949,
Alistair Moffat,104,1922,
Alister E. McGrath,105,1966,
Aljean Harmetz,106,1944,
Allan C. Weisbecker,107,1951,
Allan Janik,108,1999,2020
Allan Zola Kronzek,109,1985,
Allegra Goodman,110,1921,
Allen Carr,111,1931,
Allen Ginsberg,112,1994,
Allen J. Frantzen,113,1925,
Allison Pearson,114,1991,
Alma Flor Ada,115,1906,1981
Alvin L. Reid,116,1960,
Amanda Clark,117,1971,1994
Amanda Eyre Ward,118,1927,1981
Amanda Hemingway,119,1968,
Amartya Sen,120,1970,1997
Amelia Atwater-Rhodes,121,1908,
America's Test Kitchen,122,1966,
Amir D. Aczel,123,1952,2003
Amitav Ghosh,124,1959,
Amos Oz,125,1915,
Amy Cotler,126,1925,
Amy Goldman Koss,127,1916,
Amy Krouse Rosenthal,128,1976,
Amy L. Marsland,129,1904,1991
Amy Sedaris,130,1993,
Amy Sohn,131,1929,1971
Amy Tan,132,1946,
Amy Taubin,133,1936,
AnaÃ¯s Nin,134,1954,1981
Anderson Cooper,135,1910,1989
AndrÃ©s Duany,136,1995,
Andre Dubus,137,1976,
Andre Dubus III,138,1932,
Andre Duza,139,1919,
Andrea Camilleri,140,1994,
Andrea Levy,141,1941,
Andrea Wilson Nightingale,142,1950,
Andreas Gursky,143,1953,
Andrei Codrescu,144,1974,
Andrew      Hunt,145,1906,
Andrew    Hunt,146,1947,2000
Andrew Carnegie,147,1918,
Andrew Cartmel,148,1951,1995
Andrew Delbanco,149,1936,1963
Andrew Heintzman,150,1960,
Andrew Helfer,151,1985,2016
Andrew Hussey,152,1937,
Andrew J. Offutt,153,1925,1946
Andrew James McLean,154,1977,
Andrew M. Greeley,155,1903,
Andrew P. Trout,156,1924,1944
Andrew Solomon,157,1970,1997
Andrew Weil,158,1971,
Andrew X. Pham,159,1995,
Andy Griffiths,160,1935,
Andy Hertzfeld,161,1908,1967
Andy Hunt,162,1906,1942
Andy McNab,163,1945,1973
Andy Warhol,164,1926,2006
Angela Knight,165,1933,
Angus Gellatly,166,1963,
Angus Wells,167,1925,
Anita Desai,168,1978,
Anita Diamant,169,1917,1997
