1,,,,,,,,
100000001,9,6,4,12,,,,
100000002,16,14,,,,,,
100000003,16,14,2,7,,,,
100000004,7,3,,15,,,,
100000005,6,8,,15,,,,
100000006,4,12,8,3,,,,
100000007,16,,,7,,,,
100000008,10,,,8,,,,
100000009,3,,,10,,,,
100000010,9,6,4,12,,,,
100000011,15,,4,3,,,,
100000012,2,4,3,14,,,,
100000013,14,2,12,10,,,,
100000014,1,,,11,,,,
100000015,9,,12,,,,,
100000016,9,,6,2,,,,
100000017,5,,2,13,,,,
100000018,11,,8,14,,,,
100000019,8,,,14,,,,
100000020,6,16,,8,,,,
100000021,3,16,15,12,,,,
100000022,13,10,,,,,,
100000023,4,11,,12,,,,
100000024,7,,4,,,,,
100000025,16,,12,2,,,,
100000026,11,9,,,,,,
100000027,6,,2,13,,,,
100000028,12,7,,,,,,
100000029,5,2,9,,,,,
100000030,16,,,,,,,
100000031,5,,6,15,,,,
100000032,6,7,1,2,,,,
100000033,8,,16,,,,,
100000034,4,10,,6,,,,
100000035,5,,14,12,,,,
100000036,9,2,,,,,,
100000037,6,5,,,,,,
100000038,15,12,,6,,,,
100000039,2,10,14,7,,,,
100000040,2,,8,15,,,,
100000041,5,,7,,,,,
100000042,3,,,11,,,,
100000043,7,,,,,,,
100000044,12,,6,9,,,,
100000045,15,,16,,,,,
100000046,13,9,,,,,,
100000047,16,,,6,,,,
100000048,6,,9,,,,,
100000049,7,,5,10,,,,
100000050,2,,,13,,,,
100000051,11,,,2,,,,
100000052,13,5,,1,,,,
100000053,1,,6,9,,,,
100000054,1,,,,,,,
100000055,7,9,,2,,,,
100000056,7,5,,2,,,,
100000057,13,,6,,,,,
100000058,3,10,11,,,,,
100000059,13,1,16,15,,,,
100000060,4,16,9,13,,,,
100000061,6,12,16,,,,,
100000062,10,1,,12,,,,
100000063,1,,,3,,,,
100000064,8,,7,,,,,
100000065,9,,12,5,,,,
100000066,7,8,,16,,,,
100000067,5,,,,,,,
100000068,4,,,9,,,,
100000069,2,,9,3,,,,
100000070,2,12,16,14,,,,
100000071,15,2,7,4,,,,
100000072,10,11,,7,,,,
100000073,6,7,,4,,,,
100000074,6,,,8,,,,
100000075,10,3,7,2,,,,
100000076,14,7,10,,,,,
100000077,5,,,,,,,
100000078,3,7,16,,,,,
100000079,7,,2,,,,,
100000080,6,3,,4,,,,
100000081,4,6,16,7,,,,
100000082,12,,1,,,,,
100000083,8,6,12,11,,,,
100000084,10,,,,,,,
100000085,8,,,16,,,,
100000086,13,,11,10,,,,
100000087,11,10,2,,,,,
100000088,2,,15,14,,,,
100000089,5,12,,13,,,,
100000090,8,2,,7,,,,
100000091,7,11,12,,,,,
100000092,15,1,,16,,,,
100000093,12,,7,,,,,
100000094,2,1,6,,,,,
100000095,6,16,,15,,,,
100000096,3,11,7,2,,,,
100000097,8,3,16,10,,,,
100000098,13,3,15,9,,,,
100000099,14,9,,13,,,,
100000100,13,,11,,,,,
100000101,9,2,7,,,,,
100000102,3,13,7,15,,,,
100000103,6,,15,13,,,,
100000104,2,10,11,12,,,,
100000105,12,13,,,,,,
100000106,15,9,,,,,,
100000107,9,,,,,,,
100000108,4,,1,,,,,
100000109,6,7,1,8,,,,
100000110,10,,15,8,,,,
100000111,13,12,2,,,,,
100000112,1,,6,13,,,,
100000113,9,13,,,,,,
100000114,9,1,5,15,,,,
100000115,7,,4,6,,,,
100000116,13,2,,,,,,
100000117,14,,13,3,,,,
100000118,2,,5,,,,,
100000119,15,10,8,11,,,,
100000120,4,16,,,,,,
100000121,5,14,9,,,,,
100000122,16,7,,,,,,
100000123,11,16,1,,,,,
100000124,9,6,,,,,,
100000125,8,2,15,,,,,
100000126,16,,,1,,,,
100000127,8,4,,,,,,
100000128,13,4,16,2,,,,
100000129,16,9,13,6,,,,
100000130,9,,8,15,,,,
100000131,8,16,15,12,,,,
100000132,1,13,,,,,,
100000133,5,8,,,,,,
100000134,3,,,8,,,,
100000135,3,,2,11,,,,
100000136,12,11,9,5,,,,
100000137,4,,,9,,,,
100000138,15,3,6,2,,,,
100000139,2,,10,,,,,
100000140,11,,4,7,,,,
100000141,4,,5,,,,,
100000142,3,10,4,2,,,,
100000143,8,13,3,10,,,,
100000144,2,,,,,,,
100000145,16,1,6,4,,,,
100000146,9,4,6,5,,,,
100000147,15,7,16,,,,,
100000148,7,3,,1,,,,
100000149,4,,,,,,,
100000150,12,,,13,,,,
100000151,8,5,4,,,,,
100000152,3,4,,7,,,,
100000153,1,15,5,8,,,,
100000154,2,6,10,,,,,
100000155,5,,,13,,,,
100000156,15,8,,,,,,
100000157,1,11,,,,,,
100000158,15,3,,12,,,,
100000159,6,15,16,3,,,,
100000160,10,8,,,,,,
100000161,14,11,9,15,,,,
100000162,3,8,6,5,,,,
100000163,10,1,,,,,,
100000164,12,3,,8,,,,
100000165,11,,,,,,,
100000166,8,3,,,,,,
100000167,11,,,6,,,,
100000168,14,16,,6,,,,
100000169,1,7,,15,,,,
100000170,12,14,3,1,,,,
100000171,2,13,4,12,,,,
100000172,2,,1,8,,,,
100000173,14,15,,,,,,
100000174,3,,7,,,,,
100000175,11,7,,,,,,
100000176,12,6,,,,,,
100000177,2,,,7,,,,
100000178,8,12,,11,,,,
100000179,6,8,,,,,,
100000180,1,3,9,13,,,,
100000181,11,2,,12,,,,
100000182,2,5,,8,,,,
100000183,8,4,,,,,,
100000184,14,5,9,,,,,
100000185,13,4,,,,,,
100000186,14,12,,,,,,
100000187,2,11,3,,,,,
100000188,7,,16,,,,,
100000189,9,,,,,,,
100000190,11,8,,6,,,,
100000191,9,11,5,,,,,
100000192,11,,9,,,,,
100000193,11,,6,16,,,,
100000194,6,,16,15,,,,
