100003105,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,1,652,2006,11407,,16
100003106,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,1,870,2004,11407,558,25
100003107,Lila's Child: An Inquiry into Quality,Robert M. Pirsig/Dan Glover,1,600,2003,9657,378,13
100003108,Nineteen Eighty-Four,George Orwell,1,387,2005,9658,302,11
100003109,The Custard Kid (Black Cats),Terry Deary,1,62,2001,9659,607,3
100003110,Women and Writing,Virginia Woolf/Michèle Barrett,1,216,2003,9660,,5
100003111,Advanced Global Illumination,Philip Dutre,1,366,2006,9661,,19
100003112,Alcoholics Anonymous,Alcoholics Anonymous,1,576,2002,9662,737,23
100003113,The Drowned and the Saved,Primo Levi,1,170,1989,9663,,7
100003114,Brief Interviews with Hideous Men,David Foster Wallace,1,273,2000,9663,894,7
100003115,Hitler's Willing Executioners: Ordinary Germans and the Holocaust,Daniel Jonah Goldhagen,1,634,1997,9663,,18
100003116,Jennifer Government,Max Barry,1,352,2004,9663,,16
100003117,Venice: Tales of the City,Michelle Lovric,1,464,2005,9663,564,10
100003118,The Age of Extremes: The Short Twentieth Century  1914-1991,Eric Hobsbawm,1,638,1995,9663,,23
100003119,Lincoln (Narratives of a Golden Age),Gore Vidal,1,736,1994,9664,,18
100003120,The Life and Death of My Lord Gilles de Rais,Robert Nye,1,323,1991,9665,,8
100003121,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,1,232,2006,9666,,6
100003122,Sherlock Holmes and the Case of the Hound of the Baskervilles (Great Illustrated Classics),Malvina G. Vogel/Arthur Conan Doyle,1,237,2005,9666,662,6
100003123,A Christmas Carol (Great Illustrated Classics),Malvina G. Vogel/Charles Dickens,1,238,2005,9666,487,6
100003124,Exclusion & Embrace: A Theological Exploration of Identity  Otherness  and Reconciliation,Miroslav Volf,1,306,1996,9667,,10
100003125,The National Geographic Society: 100 Years of Adventure & Discovery,C.D.B. Bryan,1,528,2001,9668,,17
100003126,Mini-Manual of the Urban Guerrilla,Carlos Marighella,1,66,2002,9669,,2
100003127,The Adventuress,Audrey Niffenegger,1,144,2006,9670,537,4
100003128,Art Out of Time: Unknown Comics Visionaries  1900-1969,Dan Nadel,1,320,2006,9670,20,10
100003129,We Are Michael Field,Emma Donoghue/Nick Drake,1,152,1998,9671,,7
100003130,Strangers In Paradise  Pocket Book 5,Terry Moore,1,392,2005,9672,,11
100003131,Horizontal Gene Transfer,Michael Syvanen/Clarence I. Kado,1,445,2002,9673,,11
100003132,The Irish Anatomist: A Study of Flann O'Brien,Keith Donohue,1,222,2003,9674,,8
100003133,Homer's Daughter,Robert Graves,1,283,2005,9675,,9
100003134,Stranger in a Strange Land,Robert A. Heinlein,1,528,1991,9676,88,17
100003135,Dragon's Eye (Stonefort  #1),James A. Hetley,1,368,2006,9676,,9
100003136,Rose Daughter,Robin McKinley,1,304,1998,9676,401,9
100003137,Changing Planes,Ursula K. Le Guin,1,239,2005,9676,,7
100003138,Tales from Earthsea (Earthsea Cycle  #5),Ursula K. Le Guin,1,280,2003,9676,,8
100003139,Neuromancer,William Gibson,1,384,2004,9676,,9
100003140,God of Tarot (Tarot  #1),Piers Anthony,1,288,1987,9676,585,9
100003141,Faith of Tarot (Tarot  #3),Piers Anthony,1,304,1987,9676,,14
100003142,Hard Sell,Piers Anthony,1,268,1993,9676,,7
100003143,Killobyte,Piers Anthony,1,312,1994,9676,225,13
100003144,Fractal Mode (Mode  #2),Piers Anthony,1,344,1992,9676,,15
100003145,Goblin Moon (The Goblin Moon Duology #1),Teresa Edgerton,1,293,1991,9676,,11
100003146,The Work of the Sun (The Green Lion Trilogy #3),Teresa Edgerton,1,258,1990,9676,,12
100003147,The Castle of  the Silver Wheel,Teresa Edgerton,1,278,1993,9676,31,10
100003148,Rocket Ship Galileo (Heinlein's Juveniles  #1),Robert A. Heinlein,1,211,2004,9676,656,9
100003149,Starship Troopers,Robert A. Heinlein,1,280,2006,9676,,13
100003150,The Lost Years of Merlin,T.A. Barron,1,304,2002,9676,274,13
100003151,The Mirror of Merlin,T.A. Barron,1,288,2002,9676,,7
100003152,The Wings of Merlin,T.A. Barron,1,288,2003,9676,,12
100003153,The Omega Cage (Matador  #4),Steve Perry/Michael Reaves,1,256,1988,9676,,10
100003154,The 97th Step (Matador  #5),Steve Perry,1,304,1989,9676,,12
100003155,The Accidental Time Machine,Joe Haldeman,1,278,2007,9676,854,14
100003156,The Coming,Joe Haldeman,1,278,2001,9676,638,11
100003157,Dragon's Treasure,Elizabeth A. Lynn,1,336,2005,9676,,10
100003158,The Moon in Hiding (The Green Lion Trilogy #2),Teresa Edgerton,1,208,1989,9676,843,10
100003159,Ship of Fools,Richard Paul Russo,1,370,2001,9676,,17
100003160,The Eye of Charon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #2),Richard A. Knaak,1,288,2006,9676,,12
100003161,Furies of Calderon (Codex Alera  #1),Jim Butcher,1,504,2005,9676,249,15
100003162,Betcha Can't Read Just One,Alan Dean Foster/George Alec Effinger/Jack McDevitt/Nina Kiriki Hoffman/Mike Resnick/R.A. Lafferty/Tobias Grace/Laura Resnick/Margaret Ball/Ron Goulart/Mel Gilden/Edward Wellen/Wolfgang Jeschke/Greg Costikyan/Esther M. Friesner/Steve Rasnic Tem,1,242,1993,9676,263,5
100003163,Interlopers,Alan Dean Foster,1,313,2001,9676,429,7
100003164,Magic Bites (Kate Daniels  #1),Ilona Andrews,1,261,2007,9676,,10
100003165,Galactic Effectuator,Jack Vance,1,219,1981,9676,279,6
100003166,The Green Pearl (Lyonesse  #2),Jack Vance,1,407,1987,9676,4,12
100003167,The Outlaws of Sherwood,Robin McKinley,1,368,2005,9676,,18
100003168,The Hero and the Crown (Damar  #2),Robin McKinley,1,227,1985,9676,,6
100003169,The Once and Future King (The Once and Future King  #1-4),T.H. White,1,639,1987,9676,703,19
100003170,Starship Troopers,Robert A. Heinlein,1,335,1987,9677,,8
100003171,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,1,423,1987,9678,,12
100003172,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,1,436,1987,9678,,14
100003173,Dune Messiah (Dune Chronicles #2),Frank Herbert,1,331,1987,9678,95,8
100003174,Heretics of Dune (Dune Chronicles #5),Frank Herbert,1,471,1987,9678,280,23
100003175,To Sail Beyond the Sunset,Robert A. Heinlein,1,434,1988,9678,,10
