NBA 2K6 ,6,9627,2,2005,100000001,2,466,1,6,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
?kami,1,9633,3,2008,100000002,17,518,1,2,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio."
007: From Russia with Love,3,9637,5,2006,100000003,18,669,1,7,"As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy."
300: March to Glory,1,9640,5,2007,100000004,18,239,10,5,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?"
Ace Combat 6: Fires of Liberation,5,9645,2,2007,100000005,14,,1,5,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series."
Ace Combat X: Skies of Deception,5,9645,5,2006,100000006,7,504,8,3,"Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette."
Advance Wars: Days of Ruin,7,9647,1,2008,100000007,2,,1,2,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human."
Advance Wars: Dual Strike,7,9647,1,2005,100000008,15,330,1,1,"A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders."
Afrika,5,9652,4,2008,100000009,6,,1,8,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea."
After Burner: Black Falcon,1,9651,5,2007,100000010,12,,1,9,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
Age of Empires: Mythologies,7,9655,1,2008,100000011,17,879,1,5,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""
Alex Rider: Stormbreaker,2,9655,1,2006,100000012,7,,1,1,"In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z."
Alien Syndrome,1,9651,5,2007,100000013,15,773,3,8,"In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans."
All-Pro Football 2K8,6,9627,2,2007,100000014,17,207,2,3,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence."
Alone in the Dark,3,9631,2,2008,100000015,2,483,1,7,"When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper."
Amped 3,6,9627,2,2005,100000016,6,629,1,5,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters."
Animal Crossing: City Folk,5,9647,3,2008,100000017,2,,1,1,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together."
Animal Crossing: Wild World,5,9647,1,2005,100000018,2,28,1,2,"In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel."
Ape Escape Academy,6,9652,5,2004,100000019,4,156,1,4,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries."
Apollo Justice: Ace Attorney,5,9633,1,2008,100000020,7,190,3,3,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection."
Arkanoid DS,7,9654,1,2007,100000021,5,,1,5,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food."
Armored Core 4,1,9651,4,2006,100000022,1,86,1,10,This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.
Armored Core: For Answer,1,9656,4,2008,100000023,15,755,1,1,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?"
Army of Two,1,9637,2,2008,100000024,15,519,8,10,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures."
Asphalt: Urban GT,3,9656,1,2004,100000025,16,370,1,1,"Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths."
Assassin's Creed,1,9656,2,2007,100000026,8,,3,10,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth."
Assassin's Creed: Altar's Chronicles,1,9656,1,2008,100000027,7,,1,9,"Witness the wonders of human gestation through cutting-edge CGI, and learn how those nine months inside the womb can affect all aspects of one's life."
Astonishia Story,7,9656,5,2006,100000028,3,260,5,2,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.
ATV Offroad Fury: Blazin' Trails,3,9652,5,2005,100000029,9,194,1,5,"As her seemingly idyllic life begins to crumble, a lonely woman in a restrictive marriage starts an affair with a gentle bookstore owner."
Avatar: The Last Airbender,1,9655,1,2006,100000030,1,,1,4,"Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost."
